date,energy,impact_e,lat,lat_dir,lon,lon_dir,alt,vel
1/15/2018,19.9,0.56,-52,S,-57.2,E,43.6,23.7
1/6/2018,2.8,0.098,55.8,N,-52.5,E,26,21
1/6/2018,3.6,0.12,-39.5,S,-12.8,E,26,NA
12/31/2017,4.4,0.15,-63.5,S,101.3,W,64.5,NA
12/29/2017,11,0.33,14.6,N,49.5,W,38,NA
12/28/2017,11.4,0.34,NA,<NA>,NA,<NA>,NA,NA
12/15/2017,311.4,6.4,60.2,N,-170,E,20,31.4
11/19/2017,2.8,0.098,-24.2,S,-135,E,33.3,11.4
10/26/2017,55.8,1.4,-21.3,S,-177.6,E,42.5,NA
10/23/2017,2.4,0.086,28.8,N,-44.6,E,35.4,16.7
10/15/2017,3.3,0.11,-65.2,S,-128.2,E,24.1,15.9
10/9/2017,3,0.1,-18.3,S,64.1,W,NA,NA
10/4/2017,19.2,0.54,28.1,N,-99.4,E,37,14.6
9/5/2017,3.8,0.13,49.3,N,116.9,W,36,14.7
7/31/2017,5.8,0.19,24.7,N,118.5,W,NA,NA
7/23/2017,3.5,0.12,-6.6,S,69.7,W,38,17.2
7/13/2017,7.3,0.23,23.1,N,-60.7,E,35,13.7
6/30/2017,9.4,0.29,-34.3,S,-134.5,E,20,15.2
6/23/2017,18.4,0.52,57,N,-143.7,E,35.1,24.3
6/20/2017,63.6,1.6,-54.2,S,-133,E,33.3,13.6
5/24/2017,9,0.28,-9.1,S,-101.8,E,46,18.4
5/22/2017,3.5,0.12,-49.6,S,157.6,W,33,NA
5/14/2017,3.5,0.12,-26,S,-32.4,E,33,NA
4/30/2017,15,0.43,-25.7,S,-56.2,E,32.4,21.5
3/11/2017,126.3,2.9,28.3,N,60.2,W,28,NA
3/9/2017,40,1,40.5,N,18,W,23,36.5
3/8/2017,7.2,0.23,-26.1,S,-174.9,E,37,NA
2/25/2017,6.5,0.21,29.5,N,-13.5,E,25.4,12.2
2/22/2017,3.8,0.13,-50.7,S,66,W,NA,NA
2/18/2017,29.5,0.79,6.2,N,-60.4,E,38,24.2
2/7/2017,2,0.073,-27.4,S,14.8,W,54,NA
2/6/2017,6.6,0.21,10.4,N,-131.6,E,33.5,NA
12/23/2016,3.8,0.13,21.3,N,-49.3,E,42,29.7
12/7/2016,11.7,0.35,-34.5,S,126.6,W,NA,NA
11/29/2016,3.1,0.11,-30.6,S,93.1,W,NA,NA
11/24/2016,13.8,0.4,-15.2,S,-80.3,E,30.6,17.4
11/3/2016,7.6,0.24,-39.6,S,16.3,W,37,NA
10/1/2016,3.1,0.11,36.2,N,-6.7,E,27.8,14.2
9/22/2016,7.1,0.22,-51.8,S,-178.5,E,40,17.5
9/14/2016,7.6,0.24,-3.5,S,-44.6,E,54,18.3
8/27/2016,14.2,0.41,-56.9,S,-162.2,E,42,NA
8/11/2016,18.4,0.52,-43.7,S,-53.8,E,34.3,14.9
8/5/2016,12.1,0.36,46.4,N,-171.6,E,32.4,NA
7/21/2016,4.5,0.15,7.8,N,1.6,W,37,NA
7/5/2016,15.3,0.44,1,N,-48.6,E,38.2,25.1
6/27/2016,45.8,1.2,15.8,N,11.9,W,33.3,29.1
6/5/2016,33.1,0.87,-17.4,S,-138.3,E,28.7,14.5
6/2/2016,17.2,0.49,33.8,N,110.9,W,NA,NA
5/29/2016,6.9,0.22,10.2,N,48.8,W,32,NA
